entity_name,category,txs_sent,usd_sent,txs_recieved,usd_recieved,Sent_Risk_Percentage,Recieved_Risk_Percentage
Bitzlato,ransomware,855,569026.44,1088.0,2435890.4,0.0,0.0
Bixin,criminal,816,215383.07,0.0,0.0,0.0,
Bixin,dark market,320,102397.36,0.0,0.0,0.0,
Bixin,gambling,1136,168259.28,34.0,1538.6,0.01,0.02
Bixin,high risk exchange,18288,2878985.08,0.0,0.0,0.01,
Bixin,hyip,32,1213.59,17.0,1780.73,0.03,0.01
BlockFi,criminal,54,5025.92,57.0,10573.57,0.01,0.01
BlockFi,gambling,216,57647.86,1235.0,3141088.43,0.0,0.0
BlockFi,high risk exchange,270,723790.32,114.0,419544.25,0.0,0.0
BlockFi,hyip,342,916459.62,1824.0,7961732.12,0.0,0.0
BlockFi,mixer,54,163033.69,0.0,0.0,0.0,
BlockTrades.us,dark market,19,9035.42,0.0,0.0,0.0,
